"filename", "language", "Python", "comment", "blank", "total"
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/__init__.py", "Python", -29, 0, -4, -33
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/agent/__init__.py", "Python", -6, 0, -2, -8
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/agent/advanced_ocr_agent.py", "Python", -125, -20, -40, -185
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/agent/ocr_agent.py", "Python", -104, -11, -28, -143
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/context/__init__.py", "Python", -3, 0, -1, -4
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/context/context_manager.py", "Python", -262, -22, -80, -364
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/context/reference_resolver.py", "Python", -203, -39, -68, -310
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/image_processing/__init__.py", "Python", -10, 0, -2, -12
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/image_processing/coordinate_detector.py", "Python", -107, -17, -31, -155
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/image_processing/diagram_detector.py", "Python", -122, -25, -30, -177
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/image_processing/format_handler.py", "Python", -140, -20, -31, -191
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/image_processing/preprocessor.py", "Python", -221, -30, -68, -319
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/interaction/__init__.py", "Python", -3, 0, -1, -4
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/interaction/ambiguity_handler.py", "Python", -332, -18, -95, -445
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/interaction/feedback_processor.py", "Python", -160, -12, -49, -221
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/latex_generator/__init__.py", "Python", 0, 0, -1, -1
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/latex_generator/latex_generator.py", "Python", -140, -4, -37, -181
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/ocr/__init__.py", "Python", -10, 0, -2, -12
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/ocr/advanced_symbol_detector.py", "Python", -118, -26, -42, -186
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/ocr/context_analyzer.py", "Python", -232, -56, -66, -354
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/ocr/performance_optimizer.py", "Python", -163, -25, -50, -238
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/ocr/symbol_detector.py", "Python", -96, -23, -26, -145
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/structure/__init__.py", "Python", -2, 0, -2, -4
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/structure/layout_analyzer.py", "Python", -175, -26, -49, -250
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/tests/__init__.py", "Python", 0, 0, -1, -1
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/tests/test_context_management.py", "Python", -203, -40, -62, -305
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/tests/test_ocr_components.py", "Python", -143, -24, -26, -193
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/tests/test_unified_pipeline.py", "Python", -115, -24, -39, -178
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/unified_pipeline/__init__.py", "Python", -4, 0, -1, -5
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/unified_pipeline/content_router.py", "Python", -105, -7, -27, -139
"/Users/dasuncharuka/Desktop/new/math-llm-system/multimodal/unified_pipeline/input_processor.py", "Python", -249, -24, -47, -320
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/__init__.py", "Python", 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/agents/__init__.py", "Python", 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/agents/agent_info.py", "Python", 267, 4, 22, 293
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/agents/base_agent.py", "Python", 435, 49, 103, 587
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/agents/capability_advertisement.py", "Python", 216, 21, 60, 297
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/agents/communication.py", "Python", 319, 25, 68, 412
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/agents/fault_tolerance.py", "Python", 307, 58, 91, 456
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/agents/load_balancer.py", "Python", 219, 46, 77, 342
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/agents/multimodal_config.py", "Python", 106, 3, 18, 127
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/agents/registry.py", "Python", 212, 19, 50, 281
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/manager/__init__.py", "Python", 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/manager/orchestration_manager.py", "Python", 404, 79, 121, 604
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/message_bus/__init__.py", "Python", 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/message_bus/message_formats.py", "Python", 197, 5, 36, 238
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/message_bus/message_handler.py", "Python", 204, 21, 52, 277
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/message_bus/rabbitmq_wrapper.py", "Python", 267, 29, 58, 354
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/monitoring/__init__.py", "Python", 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/monitoring/logger.py", "Python", 106, 15, 34, 155
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/monitoring/metrics.py", "Python", 204, 14, 51, 269
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/monitoring/tracing.py", "Python", 153, 4, 32, 189
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/tests/__init__.py", "Python", 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/workflow/__init__.py", "Python", 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/workflow/end_to_end_workflows.py", "Python", 259, 37, 73, 369
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/workflow/enhanced_workflows.py", "Python", 957, 111, 232, 1300
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/workflow/error_handler.py", "Python", 233, 21, 54, 308
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/workflow/error_recovery.py", "Python", 1126, 172, 274, 1572
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/workflow/integrated_response_workflow.py", "Python", 344, 35, 87, 466
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/workflow/multimodal_workflows.py", "Python", 383, 22, 60, 465
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/workflow/standard_workflows.py", "Python", 265, 7, 26, 298
