"filename", "language", "Python", "Shell Script", "comment", "blank", "total"
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/__init__.py", "Python", 0, 0, 0, -1, -1
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/agents/__init__.py", "Python", 0, 0, 0, -1, -1
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/agents/agent_info.py", "Python", -267, 0, -4, -22, -293
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/agents/base_agent.py", "Python", -435, 0, -49, -103, -587
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/agents/capability_advertisement.py", "Python", -216, 0, -21, -60, -297
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/agents/communication.py", "Python", -319, 0, -25, -68, -412
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/agents/fault_tolerance.py", "Python", -307, 0, -58, -91, -456
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/agents/load_balancer.py", "Python", -219, 0, -46, -77, -342
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/agents/multimodal_config.py", "Python", -106, 0, -3, -18, -127
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/agents/registry.py", "Python", -212, 0, -19, -50, -281
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/manager/__init__.py", "Python", 0, 0, 0, -1, -1
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/manager/orchestration_manager.py", "Python", -404, 0, -79, -121, -604
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/message_bus/__init__.py", "Python", 0, 0, 0, -1, -1
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/message_bus/message_formats.py", "Python", -197, 0, -5, -36, -238
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/message_bus/message_handler.py", "Python", -204, 0, -21, -52, -277
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/message_bus/rabbitmq_wrapper.py", "Python", -267, 0, -29, -58, -354
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/monitoring/__init__.py", "Python", 0, 0, 0, -1, -1
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/monitoring/logger.py", "Python", -106, 0, -15, -34, -155
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/monitoring/metrics.py", "Python", -204, 0, -14, -51, -269
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/monitoring/tracing.py", "Python", -153, 0, -4, -32, -189
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/tests/__init__.py", "Python", 0, 0, 0, -1, -1
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/workflow/__init__.py", "Python", 0, 0, 0, -1, -1
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/workflow/end_to_end_workflows.py", "Python", -259, 0, -37, -73, -369
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/workflow/enhanced_workflows.py", "Python", -957, 0, -111, -232, -1300
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/workflow/error_handler.py", "Python", -233, 0, -21, -54, -308
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/workflow/error_recovery.py", "Python", -1126, 0, -172, -274, -1572
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/workflow/integrated_response_workflow.py", "Python", -344, 0, -35, -87, -466
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/workflow/multimodal_workflows.py", "Python", -383, 0, -22, -60, -465
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/workflow/standard_workflows.py", "Python", -265, 0, -7, -26, -298
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/workflow/visualization_handler.py", "Python", -352, 0, -64, -94, -510
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/workflow/visualization_workflows.py", "Python", -143, 0, -11, -14, -168
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/workflow/workflow_definition.py", "Python", -185, 0, -7, -37, -229
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/workflow/workflow_engine.py", "Python", -958, 0, -142, -272, -1372
"/Users/dasuncharuka/Desktop/new/math-llm-system/orchestration/workflow/workflow_registry.py", "Python", -353, 0, -28, -64, -445
"/Users/dasuncharuka/Desktop/new/math-llm-system/scripts/__init__.py", "Python", 0, 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/scripts/db_backup.py", "Python", 153, 0, 21, 46, 220
"/Users/dasuncharuka/Desktop/new/math-llm-system/scripts/db_restore.py", "Python", 129, 0, 17, 32, 178
"/Users/dasuncharuka/Desktop/new/math-llm-system/scripts/initialize_message_bus.py", "Python", 175, 0, 17, 39, 231
"/Users/dasuncharuka/Desktop/new/math-llm-system/scripts/make_advanced_ocr_executable.sh", "Shell Script", 0, 2, 2, 1, 5
"/Users/dasuncharuka/Desktop/new/math-llm-system/scripts/make_executable.sh", "Shell Script", 0, 1, 1, 1, 3
"/Users/dasuncharuka/Desktop/new/math-llm-system/scripts/make_ocr_executable.sh", "Shell Script", 0, 2, 2, 1, 5
"/Users/dasuncharuka/Desktop/new/math-llm-system/scripts/setup_database.py", "Python", 77, 0, 12, 23, 112
"/Users/dasuncharuka/Desktop/new/math-llm-system/scripts/test_advanced_image_processing.py", "Python", 227, 0, 45, 73, 345
"/Users/dasuncharuka/Desktop/new/math-llm-system/scripts/test_agent_communication.py", "Python", 208, 0, 36, 60, 304
"/Users/dasuncharuka/Desktop/new/math-llm-system/scripts/test_agent_registry.py", "Python", 105, 0, 28, 48, 181
"/Users/dasuncharuka/Desktop/new/math-llm-system/scripts/test_core_components.py", "Python", 68, 0, 12, 24, 104
"/Users/dasuncharuka/Desktop/new/math-llm-system/scripts/test_database.py", "Python", 145, 0, 28, 47, 220
"/Users/dasuncharuka/Desktop/new/math-llm-system/scripts/test_handwriting_recognition.py", "Python", 90, 0, 13, 26, 129
"/Users/dasuncharuka/Desktop/new/math-llm-system/scripts/test_integration.py", "Python", 541, 0, 58, 138, 737
"/Users/dasuncharuka/Desktop/new/math-llm-system/scripts/test_logging.py", "Python", 69, 0, 12, 32, 113
"/Users/dasuncharuka/Desktop/new/math-llm-system/scripts/test_math_knowledge_agent.py", "Python", 135, 0, 8, 33, 176
"/Users/dasuncharuka/Desktop/new/math-llm-system/scripts/test_math_ocr_enhancement.py", "Python", 108, 0, 14, 32, 154
"/Users/dasuncharuka/Desktop/new/math-llm-system/scripts/test_message_bus.py", "Python", 140, 0, 20, 40, 200
"/Users/dasuncharuka/Desktop/new/math-llm-system/scripts/test_mistral_integration.py", "Python", 138, 0, 14, 39, 191
"/Users/dasuncharuka/Desktop/new/math-llm-system/scripts/test_orchestration.py", "Python", 300, 0, 27, 79, 406
"/Users/dasuncharuka/Desktop/new/math-llm-system/scripts/test_visualization.py", "Python", 139, 0, 5, 24, 168
