"filename", "language", "Python", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/__init__.py", "Python", -5, 0, 0, 0, 0, -2, -7
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/advanced/__init__.py", "Python", 0, 0, 0, 0, 0, -1, -1
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/advanced/linear_algebra_vis.py", "Python", -764, 0, 0, 0, -113, -135, -1012
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/agent/__init__.py", "Python", -5, 0, 0, 0, 0, -2, -7
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/agent/advanced_viz_agent.py", "Python", -433, 0, 0, 0, -80, -113, -626
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/agent/interactive_viz_agent.py", "Python", -229, 0, 0, 0, -21, -41, -291
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/agent/mathematical_viz_agent.py", "Python", -216, 0, 0, 0, -23, -41, -280
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/agent/message_handler.py", "Python", -111, 0, 0, 0, -10, -22, -143
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/agent/viz_agent.py", "Python", -325, 0, 0, 0, -35, -57, -417
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/integration/__init__.py", "Python", 0, 0, 0, 0, 0, -1, -1
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/plotting/__init__.py", "Python", -5, 0, 0, 0, 0, -2, -7
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/plotting/interactive.py", "Python", -508, 0, 0, 0, -93, -110, -711
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/plotting/mathematical.py", "Python", -589, 0, 0, 0, -120, -147, -856
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/plotting/plot_2d.py", "Python", -189, 0, 0, 0, -34, -44, -267
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/plotting/plot_3d.py", "Python", -238, 0, 0, 0, -29, -43, -310
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/plotting/statistical.py", "Python", -265, 0, 0, 0, -32, -48, -345
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/selection/__init__.py", "Python", -5, 0, 0, 0, 0, -2, -7
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/selection/context_analyzer.py", "Python", -336, 0, 0, 0, -46, -67, -449
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/tests/__init__.py", "Python", -3, 0, 0, 0, 0, -1, -4
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/tests/test_agent.py", "Python", -102, 0, 0, 0, -16, -22, -140
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/tests/test_plotting.py", "Python", -110, 0, 0, 0, -11, -28, -149
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/tests/test_selector.py", "Python", -60, 0, 0, 0, -17, -21, -98
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/public/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/public/assets/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/public/assets/fonts/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/public/assets/images/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/App.jsx", "JavaScript JSX", 0, 0, 23, 0, 2, 5, 30
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/MathInputPanel.jsx", "JavaScript JSX", 0, 0, 315, 0, 32, 52, 399
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/conversation/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/input/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/latex/LatexDocument.css", "CSS", 0, 0, 0, 182, 3, 40, 225
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/latex/LatexDocument.jsx", "JavaScript JSX", 0, 0, 265, 0, 13, 25, 303
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/latex/LatexEditor.css", "CSS", 0, 0, 0, 147, 2, 24, 173
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/latex/LatexEditor.jsx", "JavaScript JSX", 0, 0, 228, 0, 21, 20, 269
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/latex/LatexRenderer.css", "CSS", 0, 0, 0, 27, 2, 5, 34
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/latex/LatexRenderer.jsx", "JavaScript JSX", 0, 0, 63, 0, 21, 12, 96
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/layout/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/math/MathInput.css", "CSS", 0, 0, 0, 173, 1, 28, 202
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/math/MathInput.jsx", "JavaScript JSX", 0, 0, 239, 0, 25, 34, 298
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/math/MathQueryPanel.css", "CSS", 0, 0, 0, 96, 1, 19, 116
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/math/MathQueryPanel.jsx", "JavaScript JSX", 0, 0, 163, 0, 27, 32, 222
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/math/StepByStepSolution.css", "CSS", 0, 0, 0, 106, 1, 19, 126
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/math/StepByStepSolution.jsx", "JavaScript JSX", 0, 0, 123, 0, 20, 14, 157
"/Users/dasuncharuka/Desktop/new/math-llm-system/web/src/components/math/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
